""   ,Date      ,symbol,value      ,change              ,type
175  ,2007-02-22,GSPC  ,1456.380005,-0.356367430353446  ,price
176  ,2007-02-23,MSFT  ,23.261065  ,0.588236179211914   ,price
177  ,2007-02-23,IBM   ,81.14254   ,-0.839046941345441  ,price
178  ,2007-02-23,SBUX  ,15.004299  ,-2.25954574752209   ,price
179  ,2007-02-23,AAPL  ,11.783825  ,-0.628717755058315  ,price
180  ,2007-02-23,GSPC  ,1451.189941,-0.125410599162916  ,price
181  ,2007-02-26,MSFT  ,23.397895  ,-4.12796535756742   ,price
182  ,2007-02-26,IBM   ,80.461716  ,-3.04406508059061   ,price
183  ,2007-02-26,SBUX  ,14.66527   ,-3.93626574894291   ,price
184  ,2007-02-26,AAPL  ,11.709738  ,-5.17456496464738   ,price
185  ,2007-02-26,GSPC  ,1449.369995,-3.47254021910396   ,price
186  ,2007-02-27,MSFT  ,22.432038  ,1.07642471005087    ,price
187  ,2007-02-27,IBM   ,78.012409  ,-1.0855657591602    ,price
188  ,2007-02-27,SBUX  ,14.088006  ,0.487805016550953   ,price
189  ,2007-02-27,AAPL  ,11.10381   ,0.810208387931711   ,price
190  ,2007-02-27,GSPC  ,1399.040039,0.556088945500158   ,price
191  ,2007-02-28,MSFT  ,22.673502  ,-0.28398789035765   ,price
192  ,2007-02-28,IBM   ,77.165533  ,-0.72090087163656   ,price
193  ,2007-02-28,SBUX  ,14.156728  ,-1.65048731599561   ,price
194  ,2007-02-28,AAPL  ,11.193774  ,2.89563644933336    ,price
195  ,2007-02-28,GSPC  ,1406.819946,-0.259443435556757  ,price
196  ,2007-03-01,MSFT  ,22.609112  ,-1.17479625029059   ,price
197  ,2007-03-01,IBM   ,76.609246  ,-1.48476725642228   ,price
198  ,2007-03-01,SBUX  ,13.923073  ,-1.67818555573185   ,price
199  ,2007-03-01,AAPL  ,11.517905  ,-1.89524917942977   ,price
200  ,2007-03-01,GSPC  ,1403.170044,-1.14027519817833   ,price
201  ,2007-03-02,MSFT  ,22.343501  ,-0.756488430349383  ,price
202  ,2007-03-02,IBM   ,75.471777  ,1.00109475360571    ,price
203  ,2007-03-02,SBUX  ,13.689418  ,-1.57295218832531   ,price
204  ,2007-03-02,AAPL  ,11.299612  ,1.06545251288275    ,price
205  ,2007-03-02,GSPC  ,1387.170044,-0.940767792416367  ,price
206  ,2007-03-05,MSFT  ,22.174475  ,1.01633522326909    ,price
207  ,2007-03-05,IBM   ,76.227321  ,2.1675259976669     ,price
208  ,2007-03-05,SBUX  ,13.47409   ,2.00611692515042    ,price
209  ,2007-03-05,AAPL  ,11.420004  ,2.16635650915708    ,price
210  ,2007-03-05,GSPC  ,1374.119995,1.54935806752452    ,price
211  ,2007-03-06,MSFT  ,22.399842  ,-0.790510040204748  ,price
212  ,2007-03-06,IBM   ,77.879568  ,0.14925352436469    ,price
213  ,2007-03-06,SBUX  ,13.744396  ,1.56666760765624    ,price
